Frame,Object,Object ID,Team,X1,Y1,X2,Y2,X_Pitch,Y_Pitch,X_MPLSoccer,Y_MPLSoccer
1,player,7,1,101,200,131,260,20.3,34.799,0.1933,0.5117
1,player,12,2,101,200,131,260,60.3,39.799,0.5743,0.5853
1,ball,0,0,500,500,520,520,30.5,39.979,0.2905,0.5879
2,player,7,1,102,200,132,260,20.6,35.589,0.1962,0.5234
2,player,12,2,102,200,132,260,60.6,40.589,0.5771,0.5969
2,ball,0,0,500,500,520,520,31.0,39.917,0.2952,0.587
3,player,7,1,103,200,133,260,20.9,36.364,0.199,0.5348
3,player,12,2,103,200,133,260,60.9,41.364,0.58,0.6083
3,ball,0,0,500,500,520,520,31.5,39.813,0.3,0.5855
4,player,7,1,104,200,134,260,21.2,37.115,0.2019,0.5458
4,player,12,2,104,200,134,260,61.2,42.115,0.5829,0.6193
4,ball,0,0,500,500,520,520,32.0,39.67,0.3048,0.5834
5,player,7,1,105,200,135,260,21.5,37.835,0.2048,0.5564
5,player,12,2,105,200,135,260,61.5,42.835,0.5857,0.6299
5,ball,0,0,500,500,520,520,32.5,39.487,0.3095,0.5807
6,player,7,1,106,200,136,260,21.8,38.517,0.2076,0.5664
6,player,12,2,106,200,136,260,61.8,43.517,0.5886,0.64
6,ball,0,0,500,500,520,520,33.0,39.265,0.3143,0.5774
7,player,7,1,107,200,137,260,22.1,39.154,0.2105,0.5758
7,player,12,2,107,200,137,260,62.1,44.154,0.5914,0.6493
7,ball,0,0,500,500,520,520,33.5,39.008,0.319,0.5736
8,player,7,1,108,200,138,260,22.4,39.739,0.2133,0.5844
8,player,12,2,108,200,138,260,62.4,44.739,0.5943,0.6579
8,ball,0,0,500,500,520,520,34.0,38.715,0.3238,0.5693
9,player,7,1,109,200,139,260,22.7,40.267,0.2162,0.5922
9,player,12,2,109,200,139,260,62.7,45.267,0.5971,0.6657
9,ball,0,0,500,500,520,520,34.5,38.39,0.3286,0.5646
10,player,7,1,110,200,140,260,23.0,40.732,0.219,0.599
